date,year,month,month_name,quarter,quarter_label,year_month,day_of_week,is_weekend,week_number
2016-09-15,2016,9,September,3,Q3,2016-09,Thursday,0,37
2016-09-16,2016,9,September,3,Q3,2016-09,Friday,0,37
2016-09-17,2016,9,September,3,Q3,2016-09,Saturday,1,37
2016-09-18,2016,9,September,3,Q3,2016-09,Sunday,1,37
2016-09-19,2016,9,September,3,Q3,2016-09,Monday,0,38
2016-09-20,2016,9,September,3,Q3,2016-09,Tuesday,0,38
2016-09-21,2016,9,September,3,Q3,2016-09,Wednesday,0,38
2016-09-22,2016,9,September,3,Q3,2016-09,Thursday,0,38
2016-09-23,2016,9,September,3,Q3,2016-09,Friday,0,38
2016-09-24,2016,9,September,3,Q3,2016-09,Saturday,1,38
2016-09-25,2016,9,September,3,Q3,2016-09,Sunday,1,38
2016-09-26,2016,9,September,3,Q3,2016-09,Monday,0,39
2016-09-27,2016,9,September,3,Q3,2016-09,Tuesday,0,39
2016-09-28,2016,9,September,3,Q3,2016-09,Wednesday,0,39
2016-09-29,2016,9,September,3,Q3,2016-09,Thursday,0,39
2016-09-30,2016,9,September,3,Q3,2016-09,Friday,0,39
2016-10-01,2016,10,October,4,Q4,2016-10,Saturday,1,39
2016-10-02,2016,10,October,4,Q4,2016-10,Sunday,1,39
2016-10-03,2016,10,October,4,Q4,2016-10,Monday,0,40
2016-10-04,2016,10,October,4,Q4,2016-10,Tuesday,0,40
2016-10-05,2016,10,October,4,Q4,2016-10,Wednesday,0,40
2016-10-06,2016,10,October,4,Q4,2016-10,Thursday,0,40
2016-10-07,2016,10,October,4,Q4,2016-10,Friday,0,40
2016-10-08,2016,10,October,4,Q4,2016-10,Saturday,1,40
2016-10-09,2016,10,October,4,Q4,2016-10,Sunday,1,40
2016-10-10,2016,10,October,4,Q4,2016-10,Monday,0,41
2016-10-11,2016,10,October,4,Q4,2016-10,Tuesday,0,41
2016-10-12,2016,10,October,4,Q4,2016-10,Wednesday,0,41
2016-10-13,2016,10,October,4,Q4,2016-10,Thursday,0,41
2016-10-14,2016,10,October,4,Q4,2016-10,Friday,0,41
2016-10-15,2016,10,October,4,Q4,2016-10,Saturday,1,41
2016-10-16,2016,10,October,4,Q4,2016-10,Sunday,1,41
2016-10-17,2016,10,October,4,Q4,2016-10,Monday,0,42
2016-10-18,2016,10,October,4,Q4,2016-10,Tuesday,0,42
2016-10-19,2016,10,October,4,Q4,2016-10,Wednesday,0,42
2016-10-20,2016,10,October,4,Q4,2016-10,Thursday,0,42
2016-10-21,2016,10,October,4,Q4,2016-10,Friday,0,42
2016-10-22,2016,10,October,4,Q4,2016-10,Saturday,1,42
2016-10-23,2016,10,October,4,Q4,2016-10,Sunday,1,42
2016-10-24,2016,10,October,4,Q4,2016-10,Monday,0,43
2016-10-25,2016,10,October,4,Q4,2016-10,Tuesday,0,43
2016-10-26,2016,10,October,4,Q4,2016-10,Wednesday,0,43
2016-10-27,2016,10,October,4,Q4,2016-10,Thursday,0,43
2016-10-28,2016,10,October,4,Q4,2016-10,Friday,0,43
2016-10-29,2016,10,October,4,Q4,2016-10,Saturday,1,43
2016-10-30,2016,10,October,4,Q4,2016-10,Sunday,1,43
2016-10-31,2016,10,October,4,Q4,2016-10,Monday,0,44
2016-11-01,2016,11,November,4,Q4,2016-11,Tuesday,0,44
2016-11-02,2016,11,November,4,Q4,2016-11,Wednesday,0,44
2016-11-03,2016,11,November,4,Q4,2016-11,Thursday,0,44
2016-11-04,2016,11,November,4,Q4,2016-11,Friday,0,44
2016-11-05,2016,11,November,4,Q4,2016-11,Saturday,1,44
2016-11-06,2016,11,November,4,Q4,2016-11,Sunday,1,44
2016-11-07,2016,11,November,4,Q4,2016-11,Monday,0,45
2016-11-08,2016,11,November,4,Q4,2016-11,Tuesday,0,45
2016-11-09,2016,11,November,4,Q4,2016-11,Wednesday,0,45
2016-11-10,2016,11,November,4,Q4,2016-11,Thursday,0,45
2016-11-11,2016,11,November,4,Q4,2016-11,Friday,0,45
2016-11-12,2016,11,November,4,Q4,2016-11,Saturday,1,45
2016-11-13,2016,11,November,4,Q4,2016-11,Sunday,1,45
2016-11-14,2016,11,November,4,Q4,2016-11,Monday,0,46
2016-11-15,2016,11,November,4,Q4,2016-11,Tuesday,0,46
2016-11-16,2016,11,November,4,Q4,2016-11,Wednesday,0,46
2016-11-17,2016,11,November,4,Q4,2016-11,Thursday,0,46
2016-11-18,2016,11,November,4,Q4,2016-11,Friday,0,46
2016-11-19,2016,11,November,4,Q4,2016-11,Saturday,1,46
2016-11-20,2016,11,November,4,Q4,2016-11,Sunday,1,46
2016-11-21,2016,11,November,4,Q4,2016-11,Monday,0,47
2016-11-22,2016,11,November,4,Q4,2016-11,Tuesday,0,47
2016-11-23,2016,11,November,4,Q4,2016-11,Wednesday,0,47
2016-11-24,2016,11,November,4,Q4,2016-11,Thursday,0,47
2016-11-25,2016,11,November,4,Q4,2016-11,Friday,0,47
2016-11-26,2016,11,November,4,Q4,2016-11,Saturday,1,47
2016-11-27,2016,11,November,4,Q4,2016-11,Sunday,1,47
2016-11-28,2016,11,November,4,Q4,2016-11,Monday,0,48
2016-11-29,2016,11,November,4,Q4,2016-11,Tuesday,0,48
2016-11-30,2016,11,November,4,Q4,2016-11,Wednesday,0,48
2016-12-01,2016,12,December,4,Q4,2016-12,Thursday,0,48
2016-12-02,2016,12,December,4,Q4,2016-12,Friday,0,48
2016-12-03,2016,12,December,4,Q4,2016-12,Saturday,1,48
2016-12-04,2016,12,December,4,Q4,2016-12,Sunday,1,48
2016-12-05,2016,12,December,4,Q4,2016-12,Monday,0,49
